congress,chamber,rollnumber,date,session,clerk_rollnumber,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question,dtl_desc
116,House,15,2019-01-09,1,16,231,195,0.068,0.044,0.714,-0.084,-0.522,HRES28,Passed,"Providing for consideration of H.R. 264, H.R. 265, H.R. 266, and H.R. 267; waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules",On Ordering the Previous Question,
116,House,16,2019-01-09,1,17,231,195,0.068,0.044,0.714,-0.084,-0.522,HRES28,Passed,"Providing for consideration of H.R. 264, H.R. 265, H.R. 266, and H.R. 267; waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules",On Agreeing to the Resolution,
116,House,17,2019-01-09,1,18,414,11,0.449,-0.893,0.608,-2.397,-23.078,HR226,Passed,Clarity on Small Business Participation in Category Management Act,On Motion to Suspend the Rules and Pass,
116,House,18,2019-01-09,1,19,235,192,0.134,0.381,0.718,0.453,-7.296,HRES6,Passed,"Adopting the Rules of the House of Representatives for the One Hundred Sixteenth Congress, and for other purposes",On Agreeing to Title III of the Resolution,
116,House,19,2019-01-09,1,20,200,227,-0.098,0.995,-0.327,-0.145,-26.949,HR264,Failed,"Making appropriations for financial services and general government for the fiscal year ending September 30, 2019, and for other purposes",On Motion to Recommit with Instructions,
116,House,20,2019-01-09,1,21,240,188,0.221,0.079,0.827,1.016,-17.168,HR264,Passed,"Making appropriations for financial services and general government for the fiscal year ending September 30, 2019, and for other purposes",On Passage,
116,House,21,2019-01-10,1,22,193,228,-0.138,0.704,-0.597,-0.937,-9.66,HR267,Failed,"Making appropriations for the Department of Transportation, and Housing and Urban Development, and related agencies for the fiscal year ending September 30, 2019, and for other purposes",On Motion to Recommit with Instructions,
116,House,22,2019-01-10,1,23,244,180,0.297,-0.08,0.642,0.763,-16.95,HR267,Passed,"Making appropriations for the Department of Transportation, and Housing and Urban Development, and related agencies for the fiscal year ending September 30, 2019, and for other purposes",On Passage,
116,House,23,2019-01-10,1,24,197,229,-0.199,0.98,-0.625,-0.729,-11.855,HR265,Failed,"Making appropriations for Agriculture, Rural Development, Food and Drug Administration, and Related Agencies programs for the fiscal year ending September 30, 2019, and for other purposes",On Motion to Recommit with Instructions,
116,House,24,2019-01-10,1,25,243,183,0.281,-0.07,0.632,0.82,-15.724,HR265,Passed,"Making appropriations for Agriculture, Rural Development, Food and Drug Administration, and Related Agencies programs for the fiscal year ending September 30, 2019, and for other purposes",On Passage,
116,House,25,2019-01-11,1,26,190,229,-0.022,0.361,-0.562,-1.074,-12.044,HR266,Failed,"Making appropriations for the Department of the Interior, environment, and related agencies for the fiscal year ending September 30, 2019, and for other purposes",On Motion to Recommit with Instructions,
116,House,26,2019-01-11,1,27,240,179,0.281,-0.066,0.631,0.825,-15.677,HR266,Passed,"Making appropriations for the Department of the Interior, environment, and related agencies for the fiscal year ending September 30, 2019, and for other purposes",On Passage,
116,House,27,2019-01-11,1,28,411,7,0.0,0.0,0.0,0.0,0.0,S24,Passed,Government Employee Fair Treatment Act,On Motion to Suspend the Rules and Pass,
116,House,28,2019-01-11,1,29,411,1,0.0,0.0,0.0,0.0,0.0,HR221,Passed,Special Envoy to Monitor and Combat Anti-Semitism Act,On Motion to Suspend the Rules and Pass,
116,House,29,2019-01-14,1,30,403,2,0.0,0.0,0.0,0.0,0.0,HR116,Passed,Investing in Main Street Act,On Motion to Suspend the Rules and Pass,
116,House,30,2019-01-15,1,31,237,187,0.2,0.126,0.64,0.759,-10.816,HJRES27,Failed,"Making further continuing appropriations for fiscal year 2019, and for other purposes",On Motion to Suspend the Rules and Pass,
116,House,31,2019-01-15,1,32,424,1,0.0,0.0,0.0,0.0,0.0,HRES41,Passed,Rejecting White nationalism and White supremacy,On Motion to Suspend the Rules and Agree,
116,House,32,2019-01-15,1,33,424,0,0.0,0.0,0.0,0.0,0.0,HR135,Passed,Federal Employee Antidiscrimination Act,On Motion to Suspend the Rules and Pass,
116,House,33,2019-01-16,1,34,230,194,0.068,0.046,0.714,-0.083,-0.523,HRES43,Passed,"Providing for consideration of the bill (H.R. 268) making supplemental appropriations for the fiscal year ending September 30, 2019, and for other purposes, and waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules",On Ordering the Previous Question,
116,House,34,2019-01-16,1,35,230,193,0.068,0.046,0.714,-0.083,-0.523,HRES43,Passed,"Providing for consideration of the bill (H.R. 268) making supplemental appropriations for the fiscal year ending September 30, 2019, and for other purposes, and waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules",On Agreeing to the Resolution,
116,House,35,2019-01-16,1,36,415,6,0.0,0.0,0.0,0.0,0.0,HR190,Passed,Expanding Contracting Opportunities for Small Businesses Act,On Motion to Suspend the Rules and Pass,
116,House,36,2019-01-16,1,37,226,197,0.402,-0.607,0.418,1.044,-29.226,HR268,Agreed to,,On Agreeing to the Amendment,
116,House,37,2019-01-16,1,38,193,231,0.068,0.046,-0.714,0.083,-0.523,HR268,Failed,"Making supplemental appropriations for the fiscal year ending September 30, 2019, and for other purposes",On Motion to Recommit with Instructions,
